A1,A2,voto,valor
CALLE VERZOZI HERMUY,SUAREZ HUAYAMAVE CARLOS ALBERTO,93
CALLE VERZOZI HERMUY,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,112
CALLE VERZOZI HERMUY,GÓMEZ LOZANO RICHARD GARIS,110
BONILLA SALCEDO VIVIANA,MUÑOZ LÓPEZ CHRISTIAN PABEL,104
CALLE VERZOZI HERMUY,SALAZAR CEDEÑO GUADALUPE DOLORES,117
CALLE VERZOZI HERMUY,VERA FLORES WENDY VANESSA,108
BONILLA SALCEDO VIVIANA,SALGADO ANDRADE SILVIA BETZABETH,106
CALLE VERZOZI HERMUY,YUNDA MACHADO JORGE HOMERO,111
CALLE VERZOZI HERMUY,ZAMBRANO ARTEAGA JOSE RICARDO,109
AGUIÑAGA VALLEJO PAOLA MARCELA,HOLGUÍN NARANJO MARCELA PRISCILA,112
CALLE VERZOZI HERMUY,MUENTES ALVARADO PABLO ANDRES,113
CALLE VERZOZI HERMUY,REYES HIDALGO CRISTINA EUGENIA,113
CALLE VERZOZI HERMUY,MENDOZA PALMA JOFFRE PATRICIO,119
BONILLA SALCEDO VIVIANA,ZAMBRANO CASTRO NORALMA ELIZABETH,120
CALLE VERZOZI HERMUY,GALLARDO ARÉVALO KATTY JUDITH,116
BONILLA SALCEDO VIVIANA,CRUZ PROAÑO LUDOVICO ISRAEL,108
AGUIÑAGA VALLEJO PAOLA MARCELA,OCHOA MORANTE MANUEL ALFREDO,122
CARRIÓN CEVALLOS MARÍA JOSÉ,SUAREZ HUAYAMAVE CARLOS ALBERTO,115
CARRIÓN CEVALLOS MARÍA JOSÉ,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,107
CARRIÓN CEVALLOS MARÍA JOSÉ,GÓMEZ LOZANO RICHARD GARIS,103
BONILLA SALCEDO VIVIANA,CANDELL SOTO JAIME ENRIQUE JIMMY,117
CARRIÓN CEVALLOS MARÍA JOSÉ,SALAZAR CEDEÑO GUADALUPE DOLORES,123
CARRIÓN CEVALLOS MARÍA JOSÉ,VERA FLORES WENDY VANESSA,112
AGUIÑAGA VALLEJO PAOLA MARCELA,QUIÑONEZ OCAMPO JULIO CÉSAR,119
CARRIÓN CEVALLOS MARÍA JOSÉ,YUNDA MACHADO JORGE HOMERO,113
CARRIÓN CEVALLOS MARÍA JOSÉ,ZAMBRANO ARTEAGA JOSE RICARDO,111
CASANOVA CEPEDA XAVIER IVAN,CALLE VERZOZI HERMUY,114
CARRIÓN CEVALLOS MARÍA JOSÉ,MUENTES ALVARADO PABLO ANDRES,112
CARRIÓN CEVALLOS MARÍA JOSÉ,REYES HIDALGO CRISTINA EUGENIA,115
CARRIÓN CEVALLOS MARÍA JOSÉ,MENDOZA PALMA JOFFRE PATRICIO,117
ANDRADE MUÑOZ WILMA PIEDAD,AUQUILLA ORTEGA RAÚL VICENTE,101
CARRIÓN CEVALLOS MARÍA JOSÉ,GALLARDO ARÉVALO KATTY JUDITH,113
CASANOVA CEPEDA XAVIER IVAN,GÓMEZ LOZANO RICHARD GARIS,110
BENAVIDES ZAMBRANO ZOILA TERESA,MELO GARZÓN ESTEBAN ANDRÉS,112
CASANOVA CEPEDA XAVIER IVAN,MENDOZA ARÉVALO DANIEL ISAAC,117
ANDRADE MUÑOZ WILMA PIEDAD,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,110
CEDEÑO ZAMBRANO JOHANNA ELIZABETH,RIVADENEIRA BUSTOS CARMEN MERCEDES,105
CASANOVA CEPEDA XAVIER IVAN,SALAZAR CEDEÑO GUADALUPE DOLORES,109
ANDRADE MUÑOZ WILMA PIEDAD,CUESTA CONCARI MARÍA MERCEDES,116
CEDEÑO ZAMBRANO JOHANNA ELIZABETH,YAR ARAUJO JUAN CARLOS,114
ANDRADE MUÑOZ WILMA PIEDAD,SOLORZANO SARRIA CESAR FAUSTO,110
CASANOVA CEPEDA XAVIER IVAN,VERA FLORES WENDY VANESSA,107
CEDEÑO ZAMBRANO JOHANNA ELIZABETH,AZUERO RODAS ELISEO ALEXIS,111
AUQUILLA ORTEGA RAÚL VICENTE,ZAMBRANO CHACHA ALBERTO ALEXANDER,107
AGUIÑAGA VALLEJO PAOLA MARCELA,CERDA ROSERO THALIA GENOVEVA,101
AUQUILLA ORTEGA RAÚL VICENTE,REYES HIDALGO CRISTINA EUGENIA,106
CEDEÑO ZAMBRANO JOHANNA ELIZABETH,PACHALA POMA LUIS ALBERTO,112
AGUIÑAGA VALLEJO PAOLA MARCELA,ORDOÑEZ ZAMBRANO SANDRA DEL ROCÍO,114
